#              Col 1             Col 2            Col 3            Col 4            Col 5            Col 6            Col 7               Col 8            Col 9           Col 10           Col 11           Col 12           Col 13
#          time [JD]     r_I_ECI  [km]    r_J_ECI  [km]    r_K_ECI  [km]  v_I_ECI  [km/s]  v_J_ECI  [km/s]  v_K_ECI  [km/s]       r_I_ECEF [km]    r_J_ECEF [km]    r_K_ECEF [km]  v_I_ECEF [km/s]  v_J_ECEF [km/s]  v_K_ECEF [km/s]
 2456753.81776620401      41974.381792     -3906.218632      -668.071900         0.284543         3.061663         0.022378        29309.345443     30300.906189      -609.052380        -0.000817         0.000224         0.022655
 2456753.81846064841      41991.052466     -3722.482064      -666.722846         0.271145         3.062880         0.022591        29309.296385     30300.919802      -607.687215        -0.000818         0.000229         0.022850
 2456753.81915509282      42006.919094     -3538.674218      -665.361025         0.257742         3.064039         0.022803        29309.247301     30300.933692      -606.310413        -0.000818         0.000234         0.023043
 2456753.81984953722      42021.981371     -3354.798613      -663.986463         0.244333         3.065139         0.023015        29309.198189     30300.947856      -604.921999        -0.000819         0.000238         0.023237
 2456753.82054398162      42036.239006     -3170.858770      -662.599185         0.230920         3.066180         0.023227        29309.149051     30300.962294      -603.521999        -0.000819         0.000243         0.023430
 2456753.82123842603      42049.691723     -2986.858211      -661.199219         0.217503         3.067163         0.023438        29309.099886     30300.977002      -602.110441        -0.000819         0.000247         0.023622
 2456753.82193287043      42062.339263     -2802.800458      -659.786591         0.204081         3.068086         0.023649        29309.050697     30300.991981      -600.687351        -0.000820         0.000252         0.023814
 2456753.82262731483      42074.181381     -2618.689037      -658.361327         0.190655         3.068952         0.023860        29309.001483     30301.007227      -599.252757        -0.000820         0.000256         0.024005
 2456753.82332175924      42085.217847     -2434.527472      -656.923456         0.177226         3.069758         0.024069        29308.952244     30301.022741      -597.806685        -0.000821         0.000261         0.024197
 2456753.82401620364      42095.448447     -2250.319290      -655.473005         0.163793         3.070505         0.024279        29308.902982     30301.038520      -596.349164        -0.000821         0.000265         0.024387
 2456753.82471064804      42104.872983     -2066.068017      -654.010000         0.150357         3.071194         0.024488        29308.853697     30301.054562      -594.880222        -0.000821         0.000269         0.024577
 2456753.82540509291      42113.491279     -1881.777058      -652.534470         0.136918         3.071824         0.024696        29308.804389     30301.070867      -593.399885        -0.000822         0.000274         0.024767
 2456753.82609953731      42121.303154     -1697.450189      -651.046445         0.123477         3.072395         0.024904        29308.754970     30301.087518      -591.908184        -0.000822         0.000278         0.024956
 2456753.82679398172      42128.308462     -1513.090815      -649.545951         0.110033         3.072908         0.025112        29308.705619     30301.104343      -590.405146        -0.000823         0.000282         0.025145
 2456753.82748842612      42134.507068     -1328.702467      -648.033018         0.096587         3.073361         0.025319        29308.656246     30301.121424      -588.890800        -0.000823         0.000287         0.025333
 2456753.82818287052      42139.898850     -1144.288675      -646.507674         0.083139         3.073756         0.025526        29308.606853     30301.138762      -587.365174        -0.000823         0.000291         0.025521
 2456753.82887731493      42144.483701      -959.852971      -644.969949         0.069689         3.074092         0.025732        29308.557440     30301.156355      -585.828299        -0.000824         0.000295         0.025708
 2456753.82957175933      42148.261533      -775.398886      -643.419871         0.056238         3.074368         0.025937        29308.508007     30301.174199      -584.280203        -0.000824         0.000299         0.025895
 2456753.83026620373      42151.232270      -590.929952      -641.857471         0.042786         3.074587         0.026143        29308.458555     30301.192296      -582.720915        -0.000824         0.000304         0.026081
 2456753.83096064813      42153.395852      -406.449702      -640.282779         0.029333         3.074746         0.026347        29308.409084     30301.210642      -581.150467        -0.000824         0.000308         0.026267
 2456753.83165509254      42154.752236      -221.961667      -638.695823         0.015880         3.074846         0.026551        29308.359594     30301.229236      -579.568887        -0.000825         0.000312         0.026452
 2456753.83234953694      42155.301394       -37.469381      -637.096636         0.002426         3.074887         0.026755        29308.310087     30301.248077      -577.976205        -0.000825         0.000316         0.026637
 2456753.83304398181      42155.043312       147.023747      -635.485245        -0.011028         3.074870         0.026958        29308.260562     30301.267163      -576.372452        -0.000825         0.000320         0.026821
 2456753.83373842621      42153.977992       331.513937      -633.861685        -0.024482         3.074794         0.027161        29308.211020     30301.286493      -574.757660        -0.000826         0.000324         0.027005
 2456753.83443287062      42152.105454       515.997780      -632.225984        -0.037936         3.074658         0.027363        29308.161461     30301.306065      -573.131859        -0.000826         0.000328         0.027188
 2456753.83512731502      42149.425730       700.471744      -630.578175        -0.051388         3.074464         0.027564        29308.111886     30301.325877      -571.495080        -0.000826         0.000332         0.027371
 2456753.83582175942      42145.938869       884.932295      -628.918289        -0.064840         3.074211         0.027765        29308.062295     30301.345927      -569.847353        -0.000826         0.000336         0.027553
 2456753.83651620382      42141.644936      1069.375901      -627.246357        -0.078291         3.073899         0.027966        29308.012689     30301.366215      -568.188712        -0.000827         0.000340         0.027735
 2456753.83721064823      42136.544010      1253.799031      -625.562411        -0.091740         3.073529         0.028166        29307.963067     30301.386739      -566.519186        -0.000827         0.000344         0.027916
 2456753.83790509263      42130.636186      1438.198153      -623.866484        -0.105187         3.073099         0.028365        29307.913429     30301.407497      -564.838809        -0.000827         0.000348         0.028096
 2456753.83859953703      42123.921577      1622.569735      -622.158608        -0.118633         3.072611         0.028564        29307.863778     30301.428488      -563.147612        -0.000827         0.000352         0.028276
 2456753.83929398144      42116.400306      1806.910247      -620.438816        -0.132076         3.072064         0.028762        29307.814112     30301.449710      -561.445627        -0.000828         0.000355         0.028456
 2456753.83998842584      42108.072517      1991.216159      -618.707140        -0.145517         3.071457         0.028960        29307.764432     30301.471161      -559.732887        -0.000828         0.000359         0.028635
 2456753.84068287071      42098.938360      2175.484065      -616.963612        -0.158955         3.070793         0.029157        29307.714738     30301.492840      -558.009424        -0.000828         0.000363         0.028813
 2456753.84137731511      42088.998019      2359.710188      -615.208268        -0.172390         3.070069         0.029354        29307.665031     30301.514746      -556.275273        -0.000828         0.000367         0.028991
 2456753.84207175951      42078.251678      2543.891126      -613.441141        -0.185821         3.069286         0.029550        29307.615311     30301.536877      -554.530466        -0.000829         0.000371         0.029169
 2456753.84276620392      42066.699538      2728.023350      -611.662263        -0.199249         3.068445         0.029746        29307.565578     30301.559230      -552.775036        -0.000829         0.000374         0.029345
 2456753.84346064832      42054.341819      2912.103334      -609.871670        -0.212674         3.067545         0.029941        29307.515832     30301.581806      -551.009017        -0.000829         0.000378         0.029522
 2456753.84415509272      42041.178756      3096.127553      -608.069395        -0.226094         3.066586         0.030135        29307.466074     30301.604602      -549.232442        -0.000829         0.000382         0.029697
 2456753.84484953713      42027.210598      3280.092483      -606.255473        -0.239510         3.065569         0.030329        29307.416304     30301.627616      -547.445346        -0.000829         0.000385         0.029872
 2456753.84554398153      42012.437610      3463.994601      -604.429938        -0.252922         3.064492         0.030522        29307.366522     30301.650848      -545.647762        -0.000830         0.000389         0.030047
 2456753.84623842593      41996.860072      3647.830384      -602.592826        -0.266329         3.063358         0.030715        29307.316728     30301.674295      -543.839725        -0.000830         0.000392         0.030221
 2456753.84693287034      41980.478281      3831.596313      -600.744171        -0.279730         3.062164         0.030907        29307.266922     30301.697957      -542.021270        -0.000830         0.000396         0.030394
 2456753.84762731474      41963.292549      4015.288868      -598.884009        -0.293127         3.060912         0.031098        29307.217106     30301.721831      -540.192431        -0.000830         0.000399         0.030567
 2456753.84832175961      41945.303188      4198.904653      -597.012373        -0.306517         3.059601         0.031289        29307.167278     30301.745916      -538.353241        -0.000830         0.000403         0.030739
 2456753.84901620401      41926.510567      4382.439907      -595.129304        -0.319902         3.058231         0.031480        29307.117440     30301.770210      -536.503740        -0.000831         0.000406         0.030911
 2456753.84971064841      41906.915030      4565.891238      -593.234834        -0.333281         3.056803         0.031669        29307.067590     30301.794713      -534.643960        -0.000831         0.000410         0.031082
 2456753.85040509282      41886.516951      4749.255131      -591.329000        -0.346654         3.055317         0.031858        29307.017730     30301.819421      -532.773937        -0.000831         0.000413         0.031252
 2456753.85109953722      41865.316717      4932.528076      -589.411839        -0.360020         3.053772         0.032047        29306.967860     30301.844335      -530.893708        -0.000831         0.000417         0.031422
 2456753.85179398162      41843.314733      5115.706562      -587.483387        -0.373379         3.052168         0.032235        29306.917980     30301.869452      -529.003307        -0.000831         0.000420         0.031591
 2456753.85248842603      41820.511418      5298.787081      -585.543682        -0.386731         3.050506         0.032422        29306.868089     30301.894771      -527.102771        -0.000831         0.000423         0.031760
 2456753.85318287043      41796.907206      5481.766127      -583.592759        -0.400075         3.048786         0.032609        29306.818188     30301.920290      -525.192137        -0.000832         0.000427         0.031928
 2456753.85387731483      41772.502546      5664.640196      -581.630657        -0.413412         3.047007         0.032795        29306.768278     30301.946008      -523.271440        -0.000832         0.000430         0.032095
 2456753.85457175924      41747.297904      5847.405784      -579.657414        -0.426741         3.045170         0.032980        29306.718357     30301.971923      -521.340718        -0.000832         0.000433         0.032262
 2456753.85526620364      41721.293761      6030.059392      -577.673066        -0.440062         3.043274         0.033165        29306.668427     30301.998034      -519.400008        -0.000832         0.000437         0.032428
 2456753.85596064804      41694.490612      6212.597520      -575.677651        -0.453375         3.041321         0.033349        29306.618488     30302.024340      -517.449346        -0.000832         0.000440         0.032594
 2456753.85665509291      41666.888949      6395.016797      -573.671207        -0.466679         3.039309         0.033532        29306.568538     30302.050838      -515.488769        -0.000832         0.000443         0.032759
 2456753.85734953731      41638.489335      6577.313482      -571.653775        -0.479974         3.037238         0.033715        29306.518580     30302.077527      -513.518316        -0.000833         0.000446         0.032923
 2456753.85804398172      41609.292295      6759.484207      -569.625391        -0.493260         3.035110         0.033897        29306.468612     30302.104406      -511.538025        -0.000833         0.000449         0.033087
 2456753.85873842612      41579.298385      6941.525483      -567.586095        -0.506536         3.032923         0.034079        29306.418635     30302.131474      -509.547932        -0.000833         0.000453         0.033250
 2456753.85943287052      41548.508177      7123.433824      -565.535925        -0.519803         3.030679         0.034260        29306.368649     30302.158729      -507.548076        -0.000833         0.000456         0.033412
 2456753.86012731493      41516.922258      7305.205744      -563.474921        -0.533060         3.028376         0.034440        29306.318653     30302.186168      -505.538496        -0.000833         0.000459         0.033574
 2456753.86082175933      41484.541232      7486.837762      -561.403122        -0.546306         3.026015         0.034620        29306.268559     30302.213878      -503.519229        -0.000833         0.000462         0.033735
 2456753.86151620373      41451.365717      7668.326401      -559.320568        -0.559543         3.023597         0.034799        29306.218546     30302.241684      -501.490314        -0.000833         0.000465         0.033895
 2456753.86221064813      41417.396344      7849.668183      -557.227298        -0.572768         3.021120         0.034977        29306.168522     30302.269671      -499.451790        -0.000834         0.000468         0.034055
 2456753.86290509254      41382.633764      8030.859635      -555.123353        -0.585983         3.018586         0.035154        29306.118490     30302.297838      -497.403696        -0.000834         0.000471         0.034214
 2456753.86359953694      41347.078639      8211.897287      -553.008772        -0.599186         3.015993         0.035331        29306.068449     30302.326182      -495.346072        -0.000834         0.000474         0.034373
 2456753.86429398181      41310.731624      8392.777792      -550.883595        -0.612378         3.013343         0.035508        29306.018399     30302.354703      -493.278954        -0.000834         0.000477         0.034531
 2456753.86498842621      41273.593460      8573.497444      -548.747866        -0.625559         3.010636         0.035683        29305.968339     30302.383400      -491.202386        -0.000834         0.000480         0.034688
 2456753.86568287062      41235.664834      8754.052902      -546.601623        -0.638727         3.007870         0.035858        29305.918270     30302.412270      -489.116405        -0.000834         0.000482         0.034844
 2456753.86637731502      41196.946470      8934.440708      -544.444908        -0.651883         3.005047         0.036032        29305.868193     30302.441312      -487.021052        -0.000835         0.000485         0.035000
 2456753.86707175942      41157.439107      9114.657406      -542.277761        -0.665027         3.002167         0.036206        29305.818105     30302.470525      -484.916367        -0.000835         0.000488         0.035156
 2456753.86776620382      41117.143498      9294.699545      -540.100225        -0.678158         2.999229         0.036379        29305.768009     30302.499907      -482.802389        -0.000835         0.000491         0.035310
 2456753.86846064823      41076.060415      9474.563677      -537.912341        -0.691276         2.996233         0.036551        29305.717903     30302.529457      -480.679160        -0.000835         0.000494         0.035464
 2456753.86915509263      41034.190642      9654.246355      -535.714151        -0.704381         2.993180         0.036722        29305.667788     30302.559174      -478.546720        -0.000835         0.000496         0.035617
 2456753.86984953703      40991.534978      9833.744139      -533.505696        -0.717472         2.990070         0.036893        29305.617664     30302.589056      -476.405109        -0.000835         0.000499         0.035770
 2456753.87054398144      40948.094239     10013.053590      -531.287020        -0.730550         2.986902         0.037063        29305.567530     30302.619102      -474.254369        -0.000835         0.000502         0.035921
 2456753.87123842584      40903.869253     10192.171273      -529.058164        -0.743614         2.983678         0.037232        29305.517386     30302.649310      -472.094540        -0.000836         0.000505         0.036073
 2456753.87193287071      40858.860837     10371.093878      -526.819170        -0.756663         2.980396         0.037401        29305.467233     30302.679678      -469.925664        -0.000836         0.000507         0.036223
 2456753.87262731511      40813.069910     10549.817737      -524.570083        -0.769699         2.977057         0.037569        29305.417070     30302.710207      -467.747783        -0.000836         0.000510         0.036373
 2456753.87332175951      40766.497316     10728.339547      -522.310945        -0.782719         2.973661         0.037736        29305.366897     30302.740893      -465.560938        -0.000836         0.000513         0.036522
 2456753.87401620392      40719.143947     10906.655888      -520.041800        -0.795724         2.970208         0.037902        29305.316714     30302.771737      -463.365172        -0.000836         0.000515         0.036670
 2456753.87471064832      40671.010706     11084.763345      -517.762689        -0.808715         2.966698         0.038068        29305.266521     30302.802735      -461.160525        -0.000836         0.000518         0.036818
 2456753.87540509272      40622.098515     11262.658505      -515.473658        -0.821689         2.963131         0.038233        29305.216317     30302.833888      -458.947041        -0.000837         0.000520         0.036965
 2456753.87609953713      40572.408306     11440.337962      -513.174750        -0.834648         2.959508         0.038397        29305.166104     30302.865193      -456.724761        -0.000837         0.000523         0.037111
 2456753.87679398153      40521.941031     11617.798311      -510.866009        -0.847592         2.955828         0.038561        29305.115880     30302.896650      -454.493728        -0.000837         0.000525         0.037256
 2456753.87748842593      40470.697654     11795.036154      -508.547479        -0.860518         2.952091         0.038724        29305.065645     30302.928256      -452.253984        -0.000837         0.000528         0.037401
